物件名,住所,間取り,家賃,階数,最寄りまでの時間
都営三田線 板橋区役所前駅 12階建 築7年,東京都板橋区板橋３,2LDK,16.3万円,"築7年
12階建",都営三田線/板橋区役所前駅 歩2分
NOLLARDA等々力,東京都世田谷区中町２,2LDK,15.8万円,"新築
3階建",東急大井町線/上野毛駅 歩7分
グランディール舎人,東京都足立区舎人２,2K,7.8万円,"築3年
3階建",日暮里・舎人ライナー/見沼代親水公園駅 歩3分
日暮里・舎人ライナー 見沼代親水公園駅 3階建 築3年,東京都足立区舎人２,2K,7.8万円,"築3年
3階建",日暮里・舎人ライナー/見沼代親水公園駅 歩4分
ブリリアント トゥデイ,東京都板橋区熊野町,2LDK,17.4万円,"築5年
13階建",東武東上線/下板橋駅 歩10分
都営三田線 志村三丁目駅 5階建 築5年,東京都板橋区坂下１,2K,8.6万円,"築5年
5階建",都営三田線/志村三丁目駅 歩8分
ペルシアーナ南常盤台,東京都板橋区南常盤台１,2K,10.4万円,"築10年
5階建",東武東上線/ときわ台駅 歩8分
B CITY APARTMENT  ITABASHI NORTH,東京都板橋区高島平１,2K,10.2万円,"築7年
6階建",都営三田線/西台駅 歩5分
B CITY APARTMENT  ITABASHI NORTH,東京都板橋区高島平１,2K,10.2万円,"築7年
6階建",都営三田線/西台駅 歩5分
都営三田線 西台駅 6階建 築7年,東京都板橋区高島平１,2K,10.2万円,"築7年
6階建",都営三田線/西台駅 歩5分
パームガーデン,東京都大田区西蒲田３,2LDK,18万円,"築13年
3階建",ＪＲ京浜東北線/蒲田駅 歩13分
ＪＲ京浜東北線 蒲田駅 3階建 築13年,東京都大田区西蒲田３,2LDK,18万円,"築13年
3階建",ＪＲ京浜東北線/蒲田駅 歩13分
ＧＲＡＮ　ＰＡＳＥＯ新大塚,東京都豊島区東池袋５,2K,12.5万円,"築4年
12階建",東京メトロ丸ノ内線/新大塚駅 歩3分
ＫＤＸレジデンス本蓮沼,東京都板橋区蓮沼町,2LDK,17.3万円,"新築
14階建",都営三田線/本蓮沼駅 歩2分
西武池袋線 富士見台駅 3階建 新築,東京都練馬区貫井１,2K,11.6万円,"新築
3階建",西武池袋線/富士見台駅 歩5分
ウェルスクエア永福町,東京都杉並区和泉３,2SLDK,17.3万円,"新築
4階建",京王井の頭線/永福町駅 歩8分
プルミエール梅里,東京都杉並区梅里２,2LDK,18.4万円,"築8年
2階建",東京メトロ丸ノ内線/新高円寺駅 歩8分
京王井の頭線 永福町駅 4階建 新築,東京都杉並区和泉３,2LDK,17.3万円,"新築
4階建",京王井の頭線/永福町駅 歩5分
L′ESPACE,東京都葛飾区小菅３,2K,7.4万円,"築10年
3階建",ＪＲ常磐線/綾瀬駅 歩10分
Konomi 成増（コノミナリマス）,東京都板橋区成増３,2K,12.6万円,"新築
4階建",東武東上線/成増駅 歩6分
東京メトロ日比谷線 入谷駅 8階建 築8年,東京都台東区北上野２,2K,14万円,"築8年
8階建",東京メトロ日比谷線/入谷駅 歩5分
都営新宿線 曙橋駅 5階建 新築,東京都新宿区市谷台町,2LDK,19.6万円,"新築
5階建",都営新宿線/曙橋駅 歩6分
コンフォリア西蒲田,東京都大田区西蒲田６,2LDK,19.3万円,"築15年
15階建",ＪＲ京浜東北線/蒲田駅 歩6分
ＪＲ京浜東北線 蒲田駅 15階建 築15年,東京都大田区西蒲田６,2LDK,19.3万円,"築15年
15階建",ＪＲ京浜東北線/蒲田駅 歩6分
カンタンテ十条,東京都北区十条仲原２,2K,14.1万円,"築2年
4階建",ＪＲ京浜東北線/東十条駅 歩8分
アイディ御殿山ヒルズファースト,東京都品川区北品川３,2K,15.9万円,"新築
地下1地上4階建",京急本線/北品川駅 歩4分
東武東上線 成増駅 4階建 新築,東京都板橋区成増３,2K,12.6万円,"新築
4階建",東武東上線/成増駅 歩7分
アンベリールマーロ北綾瀬II,東京都足立区加平１,2K,6.5万円,"築4年
6階建",東京メトロ千代田線/北綾瀬駅 歩7分
田園調布本町戸建,東京都大田区田園調布本町,2LDK,19万円,"築12年
3階建",東急池上線/御嶽山駅 歩5分
Ｅｌ　Ｃａｍｉｎｏ,東京都練馬区貫井１,2K,11.6万円,"新築
3階建",西武池袋線/富士見台駅 歩5分
東京メトロ丸ノ内線 新高円寺駅 2階建 築6年,東京都杉並区堀ノ内２,2LDK,16.2万円,"築6年
2階建",東京メトロ丸ノ内線/新高円寺駅 歩10分
都営浅草線 戸越駅 14階建 新築,東京都品川区戸越４,2K,15.2万円,"新築
14階建",都営浅草線/戸越駅 歩7分
東京メトロ丸ノ内線 新高円寺駅 10階建 築4年,東京都杉並区梅里２,2K,10.7万円,"築4年
10階建",東京メトロ丸ノ内線/新高円寺駅 歩7分
日神デュオステージ本所吾妻橋,東京都墨田区東駒形４,2K,10.5万円,"築15年
12階建",都営浅草線/本所吾妻橋駅 歩4分
ELC.加賀,東京都新宿区市谷加賀町２,2LDK,19.9万円,"築10年
4階建",都営大江戸線/牛込柳町駅 歩8分
グラース洗足池,東京都大田区東雪谷１,2LDK,16.8万円,"築6年
5階建",東急池上線/洗足池駅 歩3分
都営浅草線 本所吾妻橋駅 12階建 築15年,東京都墨田区東駒形４,2K,10.5万円,"築15年
12階建",都営浅草線/本所吾妻橋駅 歩4分
東急目黒線 大岡山駅 5階建 築6年,東京都大田区東雪谷１,2LDK,16.8万円,"築6年
5階建",東急目黒線/大岡山駅 歩17分
東急目黒線 大岡山駅 5階建 築6年,東京都大田区東雪谷１,2LDK,16.8万円,"築6年
5階建",東急目黒線/大岡山駅 歩17分
京王線 下高井戸駅 2階建 築5年,東京都世田谷区松原３,2DK,12.9万円,"築5年
2階建",京王線/下高井戸駅 歩6分
ルネサンスコート世田谷若林,東京都世田谷区若林３,2K,11.3万円,"築2年
4階建",東急世田谷線/松陰神社前駅 歩4分
ウイング菊川,東京都墨田区菊川３,2K,8.8万円,"築7年
2階建",都営新宿線/菊川駅 歩2分
ＡＲＫＭＡＲＫ練馬,東京都練馬区豊玉北６,2K,8.7万円,"新築
4階建",西武池袋線/練馬駅 歩7分
ガリシア錦糸町IV,東京都江東区亀戸３,2K,11.65万円,"築2年
9階建",東京メトロ半蔵門線/錦糸町駅 歩9分
東京メトロ半蔵門線 錦糸町駅 9階建 築2年,東京都江東区亀戸３,2K,11.65万円,"築2年
9階建",東京メトロ半蔵門線/錦糸町駅 歩9分
AIFLAT馬込,東京都大田区東馬込１,2K,10万円,"新築
地下1地上5階建",都営浅草線/馬込駅 歩2分
都営大江戸線 両国駅 12階建 築3年,東京都墨田区亀沢４,2K,11.1万円,"築3年
12階建",都営大江戸線/両国駅 歩10分
プレミアムキューブ両国ドゥ,東京都墨田区亀沢４,2K,11.1万円,"築3年
12階建",都営大江戸線/両国駅 歩10分
ブライズ神楽坂DUE,東京都新宿区水道町,2LDK,20万円,"築4年
8階建",東京メトロ有楽町線/江戸川橋駅 歩4分
ZOOM高田馬場,東京都新宿区下落合１,2K,13.3万円,"築3年
10階建",ＪＲ山手線/高田馬場駅 歩9分
ＪＲ山手線 高田馬場駅 地下1地上5階建 築4年,東京都新宿区高田馬場３,2K,14.8万円,"築4年
地下1地上5階建",ＪＲ山手線/高田馬場駅 歩5分
プライムネクサス品川鮫洲,東京都品川区東大井１,2K,10.7万円,"新築
4階建",京急本線/鮫洲駅 歩1分
レガリス馬込パークサイド,東京都大田区中馬込１,2LDK,16.8万円,"築5年
地下1地上5階建",都営浅草線/馬込駅 歩6分
セジョリ墨田EASTIII,東京都墨田区東向島３,2K,14.5万円,"新築
9階建",東武伊勢崎線/東向島駅 歩9分
西武新宿線 下落合駅 5階建 築6年,東京都新宿区上落合１,2LDK,19.2万円,"築6年
5階建",西武新宿線/下落合駅 歩2分
東武伊勢崎線 東向島駅 9階建 新築,東京都墨田区東向島３,2K,14.5万円,"新築
9階建",東武伊勢崎線/東向島駅 歩9分
ガーラ・ヴィスタ練馬中村橋,東京都練馬区貫井２,2K,8万円,"築5年
7階建",西武池袋線/中村橋駅 歩8分
ＪＲ京浜東北線 赤羽駅 4階建 新築,東京都北区志茂２,2K,15.5万円,"新築
4階建",ＪＲ京浜東北線/赤羽駅 歩10分
メゾン第2三池ビル,東京都新宿区西早稲田２,2K,13.2万円,"築6年
3階建",東京メトロ副都心線/西早稲田駅 歩2分
ＺＯＯＭ新宿夏目坂,東京都新宿区若松町,2K,16万円,"築5年
10階建",都営大江戸線/若松河田駅 歩4分
パティーナ本蓮沼,東京都板橋区蓮沼町,2K,8.2万円,"築6年
4階建",都営三田線/本蓮沼駅 歩5分
Maison de Raffine,東京都足立区大谷田４,2K,11万円,"新築
3階建",東京メトロ千代田線/北綾瀬駅 歩10分
東京メトロ千代田線 北綾瀬駅 3階建 新築,東京都足立区大谷田４,2K,11.6万円,"新築
3階建",東京メトロ千代田線/北綾瀬駅 歩10分
ザ・パークハビオ神楽坂,東京都新宿区横寺町,2K,15.4万円,"築4年
10階建",都営大江戸線/牛込神楽坂駅 歩3分
東急池上線 蓮沼駅 15階建 築5年,東京都大田区西蒲田７,2K,9.8万円,"築5年
15階建",東急池上線/蓮沼駅 歩4分
東京メトロ日比谷線 三ノ輪駅 10階建 新築,東京都台東区日本堤２,2DK,16.2万円,"新築
10階建",東京メトロ日比谷線/三ノ輪駅 歩5分
バークレーコート御徒町,東京都台東区台東３,2DK,13.8万円,"築2年
地下1地上5階建",東京メトロ日比谷線/仲御徒町駅 歩3分
ラポール上板橋,東京都板橋区上板橋１,2K,9.5万円,"築15年
6階建",東武東上線/上板橋駅 歩4分
ミュージシャンズヴィラ幡ヶ谷,東京都渋谷区幡ヶ谷１,2K,15.7万円,"築5年
13階建",京王新線/幡ヶ谷駅 歩4分
ＹＡＮＧ　ＲＩＶＥＲ,東京都大田区池上２,2LDK,18.9万円,"築2年
4階建",東急池上線/池上駅 歩9分
RJカーサ桜新町,東京都世田谷区弦巻４,2LDK,17万円,"築3年
4階建",東急田園都市線/桜新町駅 歩9分
ＪＲ総武線快速 錦糸町駅 9階建 築3年,東京都墨田区緑４,2DK,16.8万円,"築3年
9階建",ＪＲ総武線快速/錦糸町駅 歩7分
パークアクシス浅草田原町ガーデン,東京都台東区寿１,2LDK,19万円,"新築
12階建",東京メトロ銀座線/田原町駅 歩5分
京王新線 幡ヶ谷駅 13階建 築5年,東京都渋谷区幡ヶ谷１,2K,15.7万円,"築5年
13階建",京王新線/幡ヶ谷駅 歩4分
ブランメル,東京都板橋区成増１,2DK,10.6万円,"築10年
2階建",東京メトロ有楽町線/地下鉄成増駅 歩7分
ルクレ高田馬場,東京都新宿区高田馬場３,2K,14.8万円,"築4年
地下1地上5階建",ＪＲ山手線/高田馬場駅 歩5分
リヴィエール/サンクレール・デュオ　リヴィエール,東京都荒川区西尾久６,2DK,13.8万円,"築7年
3階建",ＪＲ高崎線/尾久駅 歩13分
広尾フェリシタ,東京都渋谷区恵比寿２,2K,12.2万円,"築15年
5階建",東京メトロ日比谷線/広尾駅 歩8分
東京メトロ日比谷線 広尾駅 5階建 築15年,東京都渋谷区恵比寿２,2K,12.2万円,"築15年
5階建",東京メトロ日比谷線/広尾駅 歩8分
セトル泉,東京都中野区本町３,2DK,13.7万円,"築10年
2階建",東京メトロ丸ノ内線/中野坂上駅 歩8分
ＪＲ中央線 東中野駅 5階建 築3年,東京都新宿区北新宿４,2K,11.95万円,"築3年
5階建",ＪＲ中央線/東中野駅 歩7分
東京メトロ副都心線 東新宿駅 5階建 築3年,東京都新宿区新宿７,2K,12.75万円,"築3年
5階建",東京メトロ副都心線/東新宿駅 歩3分
Ｎステージ本蓮沼,東京都板橋区大原町,2K,12.15万円,"築6年
13階建",都営三田線/本蓮沼駅 歩3分
都営三田線 本蓮沼駅 13階建 築6年,東京都板橋区大原町,2K,12.15万円,"築6年
13階建",都営三田線/本蓮沼駅 歩3分
ＪＲ山手線 日暮里駅 3階建 築7年,東京都荒川区東日暮里６,2LDK,15.6万円,"築7年
3階建",ＪＲ山手線/日暮里駅 歩6分
ジオエント浅草雷門,東京都台東区雷門１,2DK,18.4万円,"築1年
11階建",東京メトロ銀座線/浅草駅 歩4分
オーキッドレジデンス森下,東京都墨田区緑１,2DK,18.5万円,"築5年
11階建",都営新宿線/森下駅 歩6分
都電荒川線 荒川区役所前駅 3階建 築11年,東京都荒川区荒川３,2LDK,15万円,"築11年
3階建",都電荒川線/荒川区役所前駅 歩5分
コンフォリア不動前,東京都品川区西五反田５,2K,13.3万円,"築4年
5階建",東急目黒線/不動前駅 歩2分
アイル押上ノルド,東京都墨田区押上２,2DK,18.5万円,"築3年
9階建",東京メトロ半蔵門線/押上駅 歩8分
東急目黒線 不動前駅 5階建 築4年,東京都品川区西五反田５,2K,13.3万円,"築4年
5階建",東急目黒線/不動前駅 歩3分
都営大江戸線 東新宿駅 5階建 築3年,東京都新宿区新宿７,2K,12.75万円,"築3年
5階建",都営大江戸線/東新宿駅 歩3分
ＪＲ常磐線 南千住駅 15階建 新築,東京都荒川区南千住７,2LDK,17.5万円,"新築
15階建",ＪＲ常磐線/南千住駅 歩7分
都営浅草線 蔵前駅 10階建 築9年,東京都台東区蔵前４,2DK,17.5万円,"築9年
10階建",都営浅草線/蔵前駅 歩2分
京王線 桜上水駅 3階建 築15年,東京都世田谷区桜上水４,2K,10万円,"築15年
3階建",京王線/桜上水駅 歩4分
荒川区南千住1丁目新築戸建,東京都荒川区南千住１,2LDK,16.9万円,"築1年
3階建",東京メトロ日比谷線/三ノ輪駅 歩6分
サニースクエア中野若宮,東京都中野区若宮１,2DK,10万円,"築12年
2階建",西武新宿線/野方駅 歩5分
アーバンステージ方南町,東京都杉並区和泉４,2K,11.8万円,"築3年
地下1地上4階建",東京メトロ丸ノ内線/方南町駅 歩3分
アズールコート町屋パサージュ,東京都荒川区東尾久２,2LDK,17.3万円,"築2年
7階建",東京メトロ千代田線/町屋駅 歩9分
ＪＲ中央線 中野駅 2階建 築15年,東京都中野区中央５,2DK,13.5万円,"築15年
2階建",ＪＲ中央線/中野駅 歩10分
スワンレイク南千住　１月９日より内見可,東京都荒川区南千住６,2LDK,17.8万円,"新築
8階建",東京メトロ日比谷線/南千住駅 歩8分
東京メトロ千代田線 町屋駅 14階建 築14年,東京都荒川区町屋１,2LDK,18.05万円,"築14年
14階建",東京メトロ千代田線/町屋駅 歩5分
SYFORME HIGASHI SHINJUKU III,東京都新宿区新宿７,2K,12.75万円,"築3年
5階建",東京メトロ副都心線/東新宿駅 歩3分
メゾン三池,東京都新宿区西早稲田２,2K,13.6万円,"築15年
地下1地上3階建",東京メトロ副都心線/西早稲田駅 歩4分
ルネサンスコート羽田SkyGate,東京都大田区東糀谷４,2K,10.1万円,"新築
4階建",京急空港線/大鳥居駅 歩6分
東京メトロ千代田線 町屋駅 7階建 築2年,東京都荒川区東尾久２,2LDK,17.3万円,"築2年
7階建",東京メトロ千代田線/町屋駅 歩9分
アプローズ下北沢,東京都世田谷区北沢３,2K,13.3万円,"築6年
地下1地上3階建",京王井の頭線/下北沢駅 歩4分
京王線 八幡山駅 4階建 築5年,東京都世田谷区上北沢５,2K,9.4万円,"築5年
4階建",京王線/八幡山駅 歩7分
クーカイテラス代田橋,東京都杉並区和泉１,2K,13.6万円,"築3年
4階建",京王線/代田橋駅 歩3分
ステイシス町屋,東京都荒川区町屋１,2LDK,18.05万円,"築14年
14階建",東京メトロ千代田線/町屋駅 歩4分
ルポリテ,東京都大田区多摩川１,2K,10.1万円,"築7年
3階建",東急多摩川線/矢口渡駅 歩5分
コルティーレ上北沢,東京都世田谷区上北沢５,2K,9.4万円,"築5年
4階建",京王線/八幡山駅 歩7分
西武新宿線 野方駅 2階建 築12年,東京都中野区若宮１,2DK,10万円,"築12年
2階建",西武新宿線/野方駅 歩6分
東海ビル,東京都品川区中延５,2DK,11万円,"築8年
4階建",東急大井町線/荏原町駅 歩1分
ＪＲ常磐線 南千住駅 8階建 築3年,東京都荒川区南千住７,2LDK,19.1万円,"築3年
8階建",ＪＲ常磐線/南千住駅 歩9分
南千住レジデンス,東京都荒川区南千住７,2LDK,19.1万円,"築3年
8階建",東京メトロ日比谷線/南千住駅 歩9分
COURT HILLS NISHIOGU,東京都荒川区西尾久３,2LDK,17.3万円,"新築
3階建",日暮里・舎人ライナー/熊野前駅 歩10分
プレミアムキューブG東新宿,東京都新宿区大久保１,2K,19.5万円,"築6年
11階建",東京メトロ副都心線/東新宿駅 歩8分
東尾久2丁目新築戸建,東京都荒川区東尾久２,2LDK,18万円,"新築
3階建",日暮里・舎人ライナー/赤土小学校前駅 歩3分
サブ　ローザ,東京都練馬区豊玉北５,2DK,14万円,"築15年
7階建",西武池袋線/練馬駅 歩5分
ＪＲ常磐線 南千住駅 3階建 築2年,東京都荒川区南千住１,2LDK,19.6万円,"築2年
3階建",ＪＲ常磐線/南千住駅 歩9分
京王線 千歳烏山駅 5階建 築3年,東京都世田谷区南烏山５,2K,9.3万円,"築3年
5階建",京王線/千歳烏山駅 歩6分
ミリアレジデンス品川中延,東京都品川区二葉４,2DK,19.8万円,"築2年
5階建",都営浅草線/中延駅 歩7分
京成本線 新三河島駅 9階建 築6年,東京都荒川区西日暮里１,2LDK,17.5万円,"築6年
9階建",京成本線/新三河島駅 歩2分
東京メトロ日比谷線 南千住駅 14階建 築3年,東京都荒川区南千住２,2LDK,18.8万円,"築3年
14階建",東京メトロ日比谷線/南千住駅 歩3分
グローベル南千住駅前,東京都荒川区南千住２,2LDK,18.8万円,"築3年
14階建",東京メトロ日比谷線/南千住駅 歩3分
ＪＲ山手線 田端駅 11階建 築4年,東京都荒川区西尾久４,2LDK,18.3万円,"築4年
11階建",ＪＲ山手線/田端駅 歩11分
KOUSOU秋葉原,東京都千代田区外神田３,2DK,18.5万円,"新築
5階建",東京メトロ銀座線/末広町駅 歩3分
SKYHOME（スカイホーム）,東京都大田区東糀谷４,2K,11万円,"築4年
5階建",京急空港線/大鳥居駅 歩9分
レヴァンテ浅草観音　壱,東京都台東区浅草２,2LDK,17.4万円,"築2年
12階建",つくばエクスプレス/浅草駅 歩6分
東急多摩川線 武蔵新田駅 5階建 築5年,東京都大田区下丸子２,2K,8.45万円,"築5年
5階建",東急多摩川線/武蔵新田駅 歩10分
パークサイドヒルズ,東京都北区赤羽台３,2DK,10.2万円,"築15年
3階建",ＪＲ京浜東北線/赤羽駅 歩7分
つくばエクスプレス 浅草駅 2階建 築11年,東京都台東区西浅草２,2DK,14.5万円,"築11年
2階建",つくばエクスプレス/浅草駅 歩3分
First Residence 西日暮里,東京都荒川区西日暮里６,2LDK,20万円,"築3年
7階建",京成本線/新三河島駅 歩2分
ＪＲ山手線 西日暮里駅 7階建 築3年,東京都荒川区西日暮里６,2LDK,20万円,"築3年
7階建",ＪＲ山手線/西日暮里駅 歩10分
東京メトロ銀座線 浅草駅 12階建 新築,東京都台東区浅草３,2LDK,18.8万円,"新築
12階建",東京メトロ銀座線/浅草駅 歩8分
日暮里・舎人ライナー 赤土小学校前駅 5階建 築5年,東京都荒川区東尾久４,2LDK,15.5万円,"築5年
5階建",日暮里・舎人ライナー/赤土小学校前駅 歩3分
東京メトロ日比谷線 入谷駅 13階建 築8年,東京都台東区松が谷３,2LDK,19万円,"築8年
13階建",東京メトロ日比谷線/入谷駅 歩6分
東京メトロ日比谷線 入谷駅 13階建 築8年,東京都台東区松が谷３,2LDK,19万円,"築8年
13階建",東京メトロ日比谷線/入谷駅 歩5分
ACQUA VITA,東京都荒川区東尾久４,2LDK,15.5万円,"築5年
5階建",日暮里・舎人ライナー/赤土小学校前駅 歩3分
ハーモニーレジデンス錦糸町＃001,東京都墨田区江東橋２,2LDK,17万円,"築12年
14階建",ＪＲ総武線/錦糸町駅 歩8分
東京メトロ銀座線 浅草駅 14階建 築5年,東京都台東区浅草２,2LDK,17.8万円,"築5年
14階建",東京メトロ銀座線/浅草駅 歩9分
ＪＲ中央線 東京駅 7階建 築9年,東京都中央区新川２,2LDK,17.5万円,"築9年
7階建",ＪＲ中央線/東京駅 歩15分
柴又5丁目貸家,東京都葛飾区柴又５,2DK,9.8万円,"築14年
2階建",北総線/新柴又駅 歩4分
東京メトロ半蔵門線 錦糸町駅 14階建 築6年,東京都墨田区太平３,2DK,20万円,"築6年
14階建",東京メトロ半蔵門線/錦糸町駅 歩4分
都営浅草線 馬込駅 5階建 新築,東京都大田区東馬込１,2K,10万円,"新築
5階建",都営浅草線/馬込駅 歩2分
東京メトロ丸ノ内線 中野新橋駅 8階建 築6年,東京都中野区弥生町２,2DK,16.8万円,"築6年
8階建",東京メトロ丸ノ内線/中野新橋駅 歩3分
東京メトロ日比谷線 三ノ輪駅 3階建 新築,東京都荒川区南千住１,2LDK,16.9万円,"新築
3階建",東京メトロ日比谷線/三ノ輪駅 歩6分
フルール赤羽,東京都北区赤羽２,2DK,14.3万円,"築14年
9階建",湘南新宿ライン宇須/赤羽駅 歩7分
Ｓ－ＲＥＳＩＤＥＮＣＥ押上Ｃｌａｉｒ,東京都墨田区向島３,2LDK,18.4万円,"築2年
12階建",京成押上線/押上駅 歩9分
パーシモンハウス,東京都練馬区桜台１,2DK,10.7万円,"築11年
2階建",西武池袋線/桜台駅 歩6分
ＪＲ山手線 鶯谷駅 12階建 築7年,東京都台東区根岸２,2LDK,19.8万円,"築7年
12階建",ＪＲ山手線/鶯谷駅 歩4分
ウィルレーナ東京根岸,東京都台東区根岸２,2LDK,19.8万円,"築7年
12階建",ＪＲ山手線/鶯谷駅 歩4分
ＪＲ山手線 御徒町駅 13階建 新築,東京都台東区東上野１,2LDK,18.3万円,"新築
13階建",ＪＲ山手線/御徒町駅 歩3分
ユリカロゼAZ梅島,東京都足立区梅島１,2LDK,14.8万円,"築4年
12階建",東武伊勢崎線/梅島駅 歩8分
グランカーサ三ノ輪IV,東京都荒川区南千住２,2LDK,17.7万円,"新築
15階建",ＪＲ常磐線/南千住駅 歩6分
東京メトロ日比谷線 入谷駅 13階建 築2年,東京都台東区下谷１,2LDK,18.8万円,"築2年
13階建",東京メトロ日比谷線/入谷駅 歩3分
グラシアプレイス曳舟,東京都墨田区向島５,2LDK,19.2万円,"築3年
12階建",東武伊勢崎線/曳舟駅 歩8分
パーシモンハウス,東京都練馬区桜台１,2DK,10.7万円,"築11年
2階建",西武池袋線/桜台駅 歩6分
ユリカロゼAZ梅島,東京都足立区梅島１,2LDK,14.8万円,"築4年
12階建",東武伊勢崎線/梅島駅 歩8分
都営大江戸線 蔵前駅 15階建 新築,東京都台東区駒形２,2LDK,18.3万円,"新築
15階建",都営大江戸線/蔵前駅 歩2分
都営大江戸線 蔵前駅 15階建 新築,東京都台東区駒形２,2LDK,18.3万円,"新築
15階建",都営大江戸線/蔵前駅 歩2分
ONE ROOF RESIDENCE ASAKUSABASHI,東京都台東区柳橋１,2LDK,19.9万円,"築3年
14階建",都営浅草線/浅草橋駅 歩3分
パークアクシス入谷,東京都台東区入谷２,2DK,16万円,"築2年
14階建",ＪＲ山手線/上野駅 歩21分
都営大江戸線 蔵前駅 13階建 築1年,東京都台東区駒形１,2LDK,18.6万円,"築1年
13階建",都営大江戸線/蔵前駅 歩2分
日暮里・舎人ライナー 西新井大師西駅 3階建 新築,東京都足立区谷在家２,2SLDK,13.2万円,"新築
3階建",日暮里・舎人ライナー/西新井大師西駅 歩6分
グランカーサ三ノ輪IV,東京都荒川区南千住２,2LDK,17.7万円,"新築
15階建",ＪＲ常磐線/南千住駅 歩6分
東急世田谷線 世田谷駅 2階建 築15年,東京都世田谷区世田谷３,2DK,11.1万円,"築15年
2階建",東急世田谷線/世田谷駅 歩6分
京成押上線 押上駅 12階建 築2年,東京都墨田区向島３,2LDK,18.4万円,"築2年
12階建",京成押上線/押上駅 歩9分
京成押上線 京成曳舟駅 9階建 築4年,東京都墨田区八広４,2DK,12.6万円,"築4年
9階建",京成押上線/京成曳舟駅 歩13分
東京メトロ半蔵門線 押上駅 9階建 築2年,東京都墨田区向島４,2LDK,19.9万円,"築2年
9階建",東京メトロ半蔵門線/押上駅 歩5分
リックアート東陽,東京都江東区東陽３,2DK,15.2万円,"築1年
6階建",東京メトロ東西線/木場駅 歩5分
ベルファース駒沢三丁目,東京都世田谷区駒沢３,2K,12.5万円,"新築
地下1地上3階建",東急田園都市線/駒沢大学駅 歩10分
ｍｅｎｕｅｔ,東京都足立区千住東２,2LDK,17万円,"新築
3階建",東京メトロ日比谷線/北千住駅 歩8分
都営新宿線 瑞江駅 2階建 築10年,東京都江戸川区瑞江４,2DK,12万円,"築10年
2階建",都営新宿線/瑞江駅 歩7分
都営大江戸線 蔵前駅 13階建 新築,東京都台東区蔵前３,2LDK,19.4万円,"新築
13階建",都営大江戸線/蔵前駅 歩2分
東武伊勢崎線 東向島駅 7階建 築1年,東京都墨田区墨田３,2LDK,14.4万円,"築1年
7階建",東武伊勢崎線/東向島駅 歩9分
フュージョナル王子ＨＹ’ｓ,東京都北区堀船１,2LDK,18万円,"築7年
地下1地上15階建",ＪＲ京浜東北線/王子駅 歩8分
コンフォリア東新宿,東京都新宿区新宿６,2K,15.4万円,"新築
14階建",都営大江戸線/東新宿駅 歩2分
東京メトロ東西線 門前仲町駅 10階建 築4年,東京都江東区富岡２,2LDK,17.9万円,"築4年
10階建",東京メトロ東西線/門前仲町駅 歩7分
パークナードフィット東中野,東京都中野区東中野２,2LDK,20万円,"築6年
9階建",ＪＲ中央線/東中野駅 歩5分
ルフォンプログレ押上ＥＡＳＴ　ルフォンプログレ押上EAST,東京都墨田区京島２,2LDK,18.7万円,"新築
7階建",東京メトロ半蔵門線/押上駅 歩10分
京急本線 大森海岸駅 8階建 築13年,東京都品川区南大井３,2DK,15.8万円,"築13年
8階建",京急本線/大森海岸駅 歩6分
ルーブル大森八番館,東京都品川区南大井３,2DK,15.8万円,"築13年
8階建",京急本線/大森海岸駅 歩6分
ミハス武蔵小山,東京都品川区小山５,2DK,14.4万円,"築9年
3階建",東急目黒線/西小山駅 歩5分
東急目黒線 西小山駅 3階建 築9年,東京都品川区小山５,2DK,14.4万円,"築9年
3階建",東急目黒線/西小山駅 歩5分
都営三田線 千石駅 11階建 築12年,東京都文京区千石３,2DK,18.3万円,"築12年
11階建",都営三田線/千石駅 歩7分
都営三田線 千石駅 11階建 築12年,東京都文京区千石３,2DK,18.3万円,"築12年
11階建",都営三田線/千石駅 歩7分
東京メトロ丸ノ内線 茗荷谷駅 10階建 築6年,東京都文京区小石川５,2DK,18.3万円,"築6年
10階建",東京メトロ丸ノ内線/茗荷谷駅 歩7分
都営大江戸線 勝どき駅 8階建 築12年,東京都中央区勝どき４,2DK,18万円,"築12年
8階建",都営大江戸線/勝どき駅 歩3分
S-RESIDENCE文京小石川,東京都文京区小石川５,2DK,18.3万円,"築6年
10階建",東京メトロ丸ノ内線/茗荷谷駅 歩7分
アーバネックス錦糸町,東京都墨田区太平３,2DK,20万円,"築6年
14階建",東京メトロ半蔵門線/錦糸町駅 歩4分
ルフォンプログレ押上ＥＡＳＴ　ルフォンプログレ押上EAST,東京都墨田区京島２,2LDK,18.7万円,"新築
7階建",東京メトロ半蔵門線/押上駅 歩10分
EXAM方南町,東京都中野区南台３,2DK,14.4万円,"築5年
4階建",東京メトロ丸ノ内線/方南町駅 歩7分
ＬＥＧＡＬＡＮＤ東品川,東京都品川区東品川１,2DK,17.3万円,"築9年
5階建",京急本線/北品川駅 歩7分
ハーモニーレジデンス東京イースト,東京都墨田区緑３,2LDK,15.5万円,"築12年
9階建",都営新宿線/菊川駅 歩8分
東京メトロ半蔵門線 押上駅 12階建 築3年,東京都墨田区向島５,2LDK,19.2万円,"築3年
12階建",東京メトロ半蔵門線/押上駅 歩10分
